2011-08-23 05:21:20 status unpacked bsdutils 1:2.17.2-9.1ubuntu4
2011-08-23 05:21:20 status unpacked bsdutils 1:2.17.2-9.1ubuntu4
2011-08-23 05:21:20 install busybox-initramfs <none> 1:1.17.1-10ubuntu1
2011-08-23 05:21:20 status half-installed busybox-initramfs 1:1.17.1-10ubuntu1
2011-08-23 05:21:20 status unpacked busybox-initramfs 1:1.17.1-10ubuntu1
2011-08-23 05:21:20 status unpacked busybox-initramfs 1:1.17.1-10ubuntu1
2011-08-23 05:21:20 install coreutils <none> 8.5-1ubuntu6
2011-08-23 05:21:20 status half-installed coreutils 8.5-1ubuntu6
2011-08-23 05:21:21 status unpacked coreutils 8.5-1ubuntu6
2011-08-23 05:21:22 status unpacked coreutils 8.5-1ubuntu6
2011-08-23 05:21:22 install cpio <none> 2.11-7ubuntu1
2011-08-23 05:21:22 status half-installed cpio 2.11-7ubuntu1
2011-08-23 05:21:22 status unpacked cpio 2.11-7ubuntu1
2011-08-23 05:21:22 status unpacked cpio 2.11-7ubuntu1
2011-08-23 05:21:22 install dash <none> 0.5.5.1-7.2ubuntu1
2011-08-23 05:21:22 status half-installed dash 0.5.5.1-7.2ubuntu1
2011-08-23 05:21:22 status unpacked dash 0.5.5.1-7.2ubuntu1
2011-08-23 05:21:22 status unpacked dash 0.5.5.1-7.2ubuntu1
2011-08-23 05:21:22 install debconf <none> 1.5.36ubuntu4
2011-08-23 05:21:22 status half-installed debconf 1.5.36ubuntu4
2011-08-23 05:21:23 status unpacked debconf 1.5.36ubuntu4
2011-08-23 05:21:23 status unpacked debconf 1.5.36ubuntu4
2011-08-23 05:21:23 install debconf-i18n <none> 1.5.36ubuntu4
2011-08-23 05:21:23 status half-installed debconf-i18n 1.5.36ubuntu4
2011-08-23 05:21:23 status unpacked debconf-i18n 1.5.36ubuntu4
2011-08-23 05:21:23 status unpacked debconf-i18n 1.5.36ubuntu4
2011-08-23 05:21:23 install debianutils <none> 3.4.3ubuntu1
2011-08-23 05:21:23 status half-installed debianutils 3.4.3ubuntu1
2011-08-23 05:21:24 status unpacked debianutils 3.4.3ubuntu1
2011-08-23 05:21:24 status unpacked debianutils 3.4.3ubuntu1
2011-08-23 05:21:24 install diffutils <none> 1:3.0-1
2011-08-23 05:21:24 status half-installed diffutils 1:3.0-1
2011-08-23 05:21:24 status unpacked diffutils 1:3.0-1
2011-08-23 05:21:24 status unpacked diffutils 1:3.0-1
2011-08-23 05:21:24 upgrade dpkg 1.16.0~ubuntu7 1.16.0~ubuntu7
2011-08-23 05:21:24 status half-configured dpkg 1.16.0~ubuntu7
2011-08-23 05:21:24 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:24 status half-installed dpkg 1.16.0~ubuntu7
2011-08-23 05:21:25 status half-installed dpkg 1.16.0~ubuntu7
2011-08-23 05:21:25 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:25 status unpacked dpkg 1.16.0~ubuntu7
2011-08-23 05:21:25 install e2fslibs <none> 1.41.14-1ubuntu3
2011-08-23 05:21:25 status half-installed e2fslibs 1.41.14-1ubuntu3
2011-08-23 05:21:25 status unpacked e2fslibs 1.41.14-1ubuntu3
2011-08-23 05:21:26 status unpacked e2fslibs 1.41.14-1ubuntu3
2011-08-23 05:21:26 install e2fsprogs <none> 1.41.14-1ubuntu3
2011-08-23 05:21:26 status half-installed e2fsprogs 1.41.14-1ubuntu3
2011-08-23 05:21:26 status unpacked e2fsprogs 1.41.14-1ubuntu3
2011-08-23 05:21:26 status unpacked e2fsprogs 1.41.14-1ubuntu3
2011-08-23 05:21:26 install findutils <none> 4.4.2-1ubuntu3
2011-08-23 05:21:26 status half-installed findutils 4.4.2-1ubuntu3
2011-08-23 05:21:26 status unpacked findutils 4.4.2-1ubuntu3
2011-08-23 05:21:26 status unpacked findutils 4.4.2-1ubuntu3
2011-08-23 05:21:26 install gcc-4.5-base <none> 4.5.2-8ubuntu4
2011-08-23 05:21:26 status half-installed gcc-4.5-base 4.5.2-8ubuntu4
2011-08-23 05:21:26 status unpacked gcc-4.5-base 4.5.2-8ubuntu4
2011-08-23 05:21:26 status unpacked gcc-4.5-base 4.5.2-8ubuntu4
2011-08-23 05:21:26 install grep <none> 2.6.3-3ubuntu1
2011-08-23 05:21:26 status half-installed grep 2.6.3-3ubuntu1
2011-08-23 05:21:26 status unpacked grep 2.6.3-3ubuntu1
2011-08-23 05:21:26 status unpacked grep 2.6.3-3ubuntu1
2011-08-23 05:21:27 install gzip <none> 1.3.12-9ubuntu1.1
2011-08-23 05:21:27 status half-installed gzip 1.3.12-9ubuntu1.1
2011-08-23 05:21:27 status unpacked gzip 1.3.12-9ubuntu1.1
2011-08-23 05:21:27 status unpacked gzip 1.3.12-9ubuntu1.1
2011-08-23 05:21:27 install hostname <none> 3.05ubuntu1
2011-08-23 05:21:27 status half-installed hostname 3.05ubuntu1
2011-08-23 05:21:27 status unpacked hostname 3.05ubuntu1
2011-08-23 05:21:27 status unpacked hostname 3.05ubuntu1
2011-08-23 05:21:27 install ifupdown <none> 0.6.10ubuntu4
2011-08-23 05:21:27 status half-installed ifupdown 0.6.10ubuntu4
2011-08-23 05:21:27 status unpacked ifupdown 0.6.10ubuntu4
2011-08-23 05:21:27 status unpacked ifupdown 0.6.10ubuntu4
2011-08-23 05:21:27 install initramfs-tools <none> 0.98.8ubuntu3
2011-08-23 05:21:27 status half-installed initramfs-tools 0.98.8ubuntu3
2011-08-23 05:21:27 status unpacked initramfs-tools 0.98.8ubuntu3
2011-08-23 05:21:27 status unpacked initramfs-tools 0.98.8ubuntu3
